GEO_ID|GEO_ID2|SUMLEVEL|GEO_NAME|P001001
Geography Identifier|Geography Identifier|Geographic Summary Level|Geography|Total population: Total
15000US110010015003|110010015003|150|Block Group 3, Census Tract 15, District of Columbia, District of Columbia|962
15000US110010015004|110010015004|150|Block Group 4, Census Tract 15, District of Columbia, District of Columbia|1466
15000US110010015005|110010015005|150|Block Group 5, Census Tract 15, District of Columbia, District of Columbia|1009
15000US110010015006|110010015006|150|Block Group 6, Census Tract 15, District of Columbia, District of Columbia|830
15000US110010016001|110010016001|150|Block Group 1, Census Tract 16, District of Columbia, District of Columbia|1025
15000US110010016002|110010016002|150|Block Group 2, Census Tract 16, District of Columbia, District of Columbia|689
15000US110010016003|110010016003|150|Block Group 3, Census Tract 16, District of Columbia, District of Columbia|829
15000US110010016004|110010016004|150|Block Group 4, Census Tract 16, District of Columbia, District of Columbia|591
15000US110010016005|110010016005|150|Block Group 5, Census Tract 16, District of Columbia, District of Columbia|896
15000US110010017011|110010017011|150|Block Group 1, Census Tract 17.01, District of Columbia, District of Columbia|1260
15000US110010017015|110010017015|150|Block Group 5, Census Tract 17.01, District of Columbia, District of Columbia|1148
15000US110010017016|110010017016|150|Block Group 6, Census Tract 17.01, District of Columbia, District of Columbia|560
15000US110010017021|110010017021|150|Block Group 1, Census Tract 17.02, District of Columbia, District of Columbia|1065
15000US110010017022|110010017022|150|Block Group 2, Census Tract 17.02, District of Columbia, District of Columbia|1175
15000US110010018011|110010018011|150|Block Group 1, Census Tract 18.01, District of Columbia, District of Columbia|615
15000US110010018035|110010018035|150|Block Group 5, Census Tract 18.03, District of Columbia, District of Columbia|959
15000US110010018036|110010018036|150|Block Group 6, Census Tract 18.03, District of Columbia, District of Columbia|2107
15000US110010018042|110010018042|150|Block Group 2, Census Tract 18.04, District of Columbia, District of Columbia|1063
15000US110010018043|110010018043|150|Block Group 3, Census Tract 18.04, District of Columbia, District of Columbia|2069
15000US110010018044|110010018044|150|Block Group 4, Census Tract 18.04, District of Columbia, District of Columbia|1024
15000US110010019015|110010019015|150|Block Group 5, Census Tract 19.01, District of Columbia, District of Columbia|909
15000US110010019016|110010019016|150|Block Group 6, Census Tract 19.01, District of Columbia, District of Columbia|904
15000US110010019017|110010019017|150|Block Group 7, Census Tract 19.01, District of Columbia, District of Columbia|1308
15000US110010019018|110010019018|150|Block Group 8, Census Tract 19.01, District of Columbia, District of Columbia|828
15000US110010019022|110010019022|150|Block Group 2, Census Tract 19.02, District of Columbia, District of Columbia|794
15000US110010019023|110010019023|150|Block Group 3, Census Tract 19.02, District of Columbia, District of Columbia|724
15000US110010019024|110010019024|150|Block Group 4, Census Tract 19.02, District of Columbia, District of Columbia|544
15000US110010020011|110010020011|150|Block Group 1, Census Tract 20.01, District of Columbia, District of Columbia|1278
15000US110010020017|110010020017|150|Block Group 7, Census Tract 20.01, District of Columbia, District of Columbia|1157
15000US110010020022|110010020022|150|Block Group 2, Census Tract 20.02, District of Columbia, District of Columbia|1270
15000US110010020023|110010020023|150|Block Group 3, Census Tract 20.02, District of Columbia, District of Columbia|829
15000US110010020024|110010020024|150|Block Group 4, Census Tract 20.02, District of Columbia, District of Columbia|624
15000US110010020025|110010020025|150|Block Group 5, Census Tract 20.02, District of Columbia, District of Columbia|1058
15000US110010021011|110010021011|150|Block Group 1, Census Tract 21.01, District of Columbia, District of Columbia|1434
15000US110010021012|110010021012|150|Block Group 2, Census Tract 21.01, District of Columbia, District of Columbia|1006
15000US110010021013|110010021013|150|Block Group 3, Census Tract 21.01, District of Columbia, District of Columbia|1217
15000US110010021014|110010021014|150|Block Group 4, Census Tract 21.01, District of Columbia, District of Columbia|701
15000US110010021015|110010021015|150|Block Group 5, Census Tract 21.01, District of Columbia, District of Columbia|875
15000US110010021021|110010021021|150|Block Group 1, Census Tract 21.02, District of Columbia, District of Columbia|950
15000US110010021022|110010021022|150|Block Group 2, Census Tract 21.02, District of Columbia, District of Columbia|847
15000US110010021023|110010021023|150|Block Group 3, Census Tract 21.02, District of Columbia, District of Columbia|744
15000US110010021024|110010021024|150|Block Group 4, Census Tract 21.02, District of Columbia, District of Columbia|709
15000US110010021025|110010021025|150|Block Group 5, Census Tract 21.02, District of Columbia, District of Columbia|600
15000US110010021026|110010021026|150|Block Group 6, Census Tract 21.02, District of Columbia, District of Columbia|781
15000US110010022011|110010022011|150|Block Group 1, Census Tract 22.01, District of Columbia, District of Columbia|1283
15000US110010022012|110010022012|150|Block Group 2, Census Tract 22.01, District of Columbia, District of Columbia|1327
15000US110010022014|110010022014|150|Block Group 4, Census Tract 22.01, District of Columbia, District of Columbia|895
15000US110010022021|110010022021|150|Block Group 1, Census Tract 22.02, District of Columbia, District of Columbia|1389
15000US110010022022|110010022022|150|Block Group 2, Census Tract 22.02, District of Columbia, District of Columbia|747
15000US110010022023|110010022023|150|Block Group 3, Census Tract 22.02, District of Columbia, District of Columbia|877
15000US110010023011|110010023011|150|Block Group 1, Census Tract 23.01, District of Columbia, District of Columbia|1204
15000US110010023012|110010023012|150|Block Group 2, Census Tract 23.01, District of Columbia, District of Columbia|618
15000US110010023013|110010023013|150|Block Group 3, Census Tract 23.01, District of Columbia, District of Columbia|575
15000US110010023014|110010023014|150|Block Group 4, Census Tract 23.01, District of Columbia, District of Columbia|598
15000US110010023021|110010023021|150|Block Group 1, Census Tract 23.02, District of Columbia, District of Columbia|1345
15000US110010024002|110010024002|150|Block Group 2, Census Tract 24, District of Columbia, District of Columbia|1114
15000US110010024003|110010024003|150|Block Group 3, Census Tract 24, District of Columbia, District of Columbia|675
15000US110010024004|110010024004|150|Block Group 4, Census Tract 24, District of Columbia, District of Columbia|950
15000US110010024005|110010024005|150|Block Group 5, Census Tract 24, District of Columbia, District of Columbia|841
15000US110010025011|110010025011|150|Block Group 1, Census Tract 25.01, District of Columbia, District of Columbia|991
15000US110010025013|110010025013|150|Block Group 3, Census Tract 25.01, District of Columbia, District of Columbia|1401
15000US110010025021|110010025021|150|Block Group 1, Census Tract 25.02, District of Columbia, District of Columbia|969
15000US110010025022|110010025022|150|Block Group 2, Census Tract 25.02, District of Columbia, District of Columbia|1148
15000US110010025023|110010025023|150|Block Group 3, Census Tract 25.02, District of Columbia, District of Columbia|3369
15000US110010026002|110010026002|150|Block Group 2, Census Tract 26, District of Columbia, District of Columbia|1223
15000US110010026003|110010026003|150|Block Group 3, Census Tract 26, District of Columbia, District of Columbia|961
15000US110010027011|110010027011|150|Block Group 1, Census Tract 27.01, District of Columbia, District of Columbia|3336
15000US110010027012|110010027012|150|Block Group 2, Census Tract 27.01, District of Columbia, District of Columbia|2406
15000US110010027021|110010027021|150|Block Group 1, Census Tract 27.02, District of Columbia, District of Columbia|2302
15000US110010027022|110010027022|150|Block Group 2, Census Tract 27.02, District of Columbia, District of Columbia|2433
15000US110010027023|110010027023|150|Block Group 3, Census Tract 27.02, District of Columbia, District of Columbia|1317
15000US110010028011|110010028011|150|Block Group 1, Census Tract 28.01, District of Columbia, District of Columbia|3629
15000US110010028022|110010028022|150|Block Group 2, Census Tract 28.02, District of Columbia, District of Columbia|4700
15000US110010029001|110010029001|150|Block Group 1, Census Tract 29, District of Columbia, District of Columbia|1925
15000US110010029002|110010029002|150|Block Group 2, Census Tract 29, District of Columbia, District of Columbia|2264
