GEO_ID|GEO_ID2|SUMLEV|GEONAME|GEOCOMP|STATE|COUNTY|TRACT|BLKGROUP
15000US110010012003|110010012003|150|"Block Group 3, Census Tract 12, District of Columbia, District of Columbia"|00|11|001|001200|3
15000US110010012004|110010012004|150|"Block Group 4, Census Tract 12, District of Columbia, District of Columbia"|00|11|001|001200|4
15000US110010013011|110010013011|150|"Block Group 1, Census Tract 13.01, District of Columbia, District of Columbia"|00|11|001|001301|1
15000US110010013015|110010013015|150|"Block Group 5, Census Tract 13.01, District of Columbia, District of Columbia"|00|11|001|001301|5
15000US110010013017|110010013017|150|"Block Group 7, Census Tract 13.01, District of Columbia, District of Columbia"|00|11|001|001301|7
15000US110010013021|110010013021|150|"Block Group 1, Census Tract 13.02, District of Columbia, District of Columbia"|00|11|001|001302|1
15000US110010013022|110010013022|150|"Block Group 2, Census Tract 13.02, District of Columbia, District of Columbia"|00|11|001|001302|2
15000US110010014013|110010014013|150|"Block Group 3, Census Tract 14.01, District of Columbia, District of Columbia"|00|11|001|001401|3
15000US110010014016|110010014016|150|"Block Group 6, Census Tract 14.01, District of Columbia, District of Columbia"|00|11|001|001401|6
15000US110010014021|110010014021|150|"Block Group 1, Census Tract 14.02, District of Columbia, District of Columbia"|00|11|001|001402|1
15000US110010014022|110010014022|150|"Block Group 2, Census Tract 14.02, District of Columbia, District of Columbia"|00|11|001|001402|2
15000US110010015001|110010015001|150|"Block Group 1, Census Tract 15, District of Columbia, District of Columbia"|00|11|001|001500|1
15000US110010015003|110010015003|150|"Block Group 3, Census Tract 15, District of Columbia, District of Columbia"|00|11|001|001500|3
15000US110010015004|110010015004|150|"Block Group 4, Census Tract 15, District of Columbia, District of Columbia"|00|11|001|001500|4
15000US110010015005|110010015005|150|"Block Group 5, Census Tract 15, District of Columbia, District of Columbia"|00|11|001|001500|5
15000US110010015006|110010015006|150|"Block Group 6, Census Tract 15, District of Columbia, District of Columbia"|00|11|001|001500|6
15000US110010016001|110010016001|150|"Block Group 1, Census Tract 16, District of Columbia, District of Columbia"|00|11|001|001600|1
15000US110010016002|110010016002|150|"Block Group 2, Census Tract 16, District of Columbia, District of Columbia"|00|11|001|001600|2
15000US110010016003|110010016003|150|"Block Group 3, Census Tract 16, District of Columbia, District of Columbia"|00|11|001|001600|3
15000US110010016004|110010016004|150|"Block Group 4, Census Tract 16, District of Columbia, District of Columbia"|00|11|001|001600|4
15000US110010016005|110010016005|150|"Block Group 5, Census Tract 16, District of Columbia, District of Columbia"|00|11|001|001600|5
15000US110010017011|110010017011|150|"Block Group 1, Census Tract 17.01, District of Columbia, District of Columbia"|00|11|001|001701|1
15000US110010017015|110010017015|150|"Block Group 5, Census Tract 17.01, District of Columbia, District of Columbia"|00|11|001|001701|5
15000US110010017016|110010017016|150|"Block Group 6, Census Tract 17.01, District of Columbia, District of Columbia"|00|11|001|001701|6
15000US110010017021|110010017021|150|"Block Group 1, Census Tract 17.02, District of Columbia, District of Columbia"|00|11|001|001702|1
15000US110010017022|110010017022|150|"Block Group 2, Census Tract 17.02, District of Columbia, District of Columbia"|00|11|001|001702|2
15000US110010018011|110010018011|150|"Block Group 1, Census Tract 18.01, District of Columbia, District of Columbia"|00|11|001|001801|1
15000US110010018035|110010018035|150|"Block Group 5, Census Tract 18.03, District of Columbia, District of Columbia"|00|11|001|001803|5
15000US110010018036|110010018036|150|"Block Group 6, Census Tract 18.03, District of Columbia, District of Columbia"|00|11|001|001803|6
15000US110010018042|110010018042|150|"Block Group 2, Census Tract 18.04, District of Columbia, District of Columbia"|00|11|001|001804|2
15000US110010018043|110010018043|150|"Block Group 3, Census Tract 18.04, District of Columbia, District of Columbia"|00|11|001|001804|3
15000US110010018044|110010018044|150|"Block Group 4, Census Tract 18.04, District of Columbia, District of Columbia"|00|11|001|001804|4
15000US110010019015|110010019015|150|"Block Group 5, Census Tract 19.01, District of Columbia, District of Columbia"|00|11|001|001901|5
15000US110010019016|110010019016|150|"Block Group 6, Census Tract 19.01, District of Columbia, District of Columbia"|00|11|001|001901|6
15000US110010019017|110010019017|150|"Block Group 7, Census Tract 19.01, District of Columbia, District of Columbia"|00|11|001|001901|7
15000US110010019018|110010019018|150|"Block Group 8, Census Tract 19.01, District of Columbia, District of Columbia"|00|11|001|001901|8
15000US110010019022|110010019022|150|"Block Group 2, Census Tract 19.02, District of Columbia, District of Columbia"|00|11|001|001902|2
15000US110010019023|110010019023|150|"Block Group 3, Census Tract 19.02, District of Columbia, District of Columbia"|00|11|001|001902|3
15000US110010019024|110010019024|150|"Block Group 4, Census Tract 19.02, District of Columbia, District of Columbia"|00|11|001|001902|4
15000US110010020011|110010020011|150|"Block Group 1, Census Tract 20.01, District of Columbia, District of Columbia"|00|11|001|002001|1
15000US110010020017|110010020017|150|"Block Group 7, Census Tract 20.01, District of Columbia, District of Columbia"|00|11|001|002001|7
15000US110010020022|110010020022|150|"Block Group 2, Census Tract 20.02, District of Columbia, District of Columbia"|00|11|001|002002|2
15000US110010020023|110010020023|150|"Block Group 3, Census Tract 20.02, District of Columbia, District of Columbia"|00|11|001|002002|3
15000US110010020024|110010020024|150|"Block Group 4, Census Tract 20.02, District of Columbia, District of Columbia"|00|11|001|002002|4
15000US110010020025|110010020025|150|"Block Group 5, Census Tract 20.02, District of Columbia, District of Columbia"|00|11|001|002002|5
15000US110010021011|110010021011|150|"Block Group 1, Census Tract 21.01, District of Columbia, District of Columbia"|00|11|001|002101|1
15000US110010021012|110010021012|150|"Block Group 2, Census Tract 21.01, District of Columbia, District of Columbia"|00|11|001|002101|2
15000US110010021013|110010021013|150|"Block Group 3, Census Tract 21.01, District of Columbia, District of Columbia"|00|11|001|002101|3
15000US110010021014|110010021014|150|"Block Group 4, Census Tract 21.01, District of Columbia, District of Columbia"|00|11|001|002101|4
15000US110010021015|110010021015|150|"Block Group 5, Census Tract 21.01, District of Columbia, District of Columbia"|00|11|001|002101|5
15000US110010021021|110010021021|150|"Block Group 1, Census Tract 21.02, District of Columbia, District of Columbia"|00|11|001|002102|1
15000US110010021022|110010021022|150|"Block Group 2, Census Tract 21.02, District of Columbia, District of Columbia"|00|11|001|002102|2
15000US110010021023|110010021023|150|"Block Group 3, Census Tract 21.02, District of Columbia, District of Columbia"|00|11|001|002102|3
15000US110010021024|110010021024|150|"Block Group 4, Census Tract 21.02, District of Columbia, District of Columbia"|00|11|001|002102|4
15000US110010021025|110010021025|150|"Block Group 5, Census Tract 21.02, District of Columbia, District of Columbia"|00|11|001|002102|5
