route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
,3,,,KCM,100178,http://metro.kingcounty.gov/tops/bus/schedules/s304_0_.html,Richmond Beach via Dayton,304
,3,,,KCM,100175,http://metro.kingcounty.gov/tops/bus/schedules/s301_0_.html,Aurora Village-Downtown Seattle,301
,3,,,KCM,100174,http://metro.kingcounty.gov/tops/bus/schedules/s030_0_.html,Sandpoint/U-Dist/Seattle Center,30
,3,,,KCM,100177,http://metro.kingcounty.gov/tops/bus/schedules/s303_0_.html,Shoreline - NTC - First Hill,303
,3,,,KCM,100019,http://metro.kingcounty.gov/tops/bus/schedules/s120_0_.html,Burien to Seattle via Ambaum & Delridge,120
,3,,,KCM,100196,http://metro.kingcounty.gov/tops/bus/schedules/s331_0_.html,S03: Kenmore - SCC,331
,3,,,KCM,100170,http://metro.kingcounty.gov/tops/bus/schedules/s280_0_.html,Seattle/Bellevue/Renton OWL,280
,3,,,KCM,100173,http://metro.kingcounty.gov/tops/bus/schedules/s003_0_.html,Route 3,3
,3,,,KCM,100114,http://metro.kingcounty.gov/tops/bus/schedules/s222_0_.html,Bellevue/Factoria/Eastgate,222
,3,,,KCM,100068,http://metro.kingcounty.gov/tops/bus/schedules/s177_0_.html,Federal Way P&R Via I-5 --Tunnel,177
,3,,,KCM,100256,http://metro.kingcounty.gov/tops/bus/schedules/s066_0_.html,Ferry Terminal - Ngt P&R,66
,3,,,KCM,100507,http://metro.kingcounty.gov/tops/bus/schedules/s822_0_.html,Somerset/NewportHS/IntlHS 822,822
,3,,,KCM,100261,http://metro.kingcounty.gov/tops/bus/schedules/s068_0_.html,Northgate to UW Campus via 25 NE,68
,3,,,KCM,100263,http://metro.kingcounty.gov/tops/bus/schedules/s007_0_.html,Route 7,7
,3,,,KCM,100262,http://metro.kingcounty.gov/tops/bus/schedules/s688_0_.html,Center Park,688
,3,,,KCM,100265,http://metro.kingcounty.gov/tops/bus/schedules/s071_0_.html,View Ridge,71
,3,,,KCM,100264,http://metro.kingcounty.gov/tops/bus/schedules/s070_0_.html,University District,70
,3,,,KCM,100267,http://metro.kingcounty.gov/tops/bus/schedules/s073_0_.html,Jackson Park,73
,3,,,KCM,100266,http://metro.kingcounty.gov/tops/bus/schedules/s072_0_.html,Lake City,72
,3,,,KCM,100096,http://metro.kingcounty.gov/tops/bus/schedules/s205_0_.html,Mercer Island/U district,205
,3,,,KCM,100268,http://metro.kingcounty.gov/tops/bus/schedules/s074_0_.html,Sandpoint/U-Dist/CPS,74
,3,,,KCM,100094,http://metro.kingcounty.gov/tops/bus/schedules/s203_0_.html,Shorewood Van Shuttle,203
,3,,,KCM,100275,http://metro.kingcounty.gov/tops/bus/schedules/s008_0_.html,Cap.Hill/Denny Wy,8
,3,,,KCM,100092,http://metro.kingcounty.gov/tops/bus/schedules/s201_0_.html,West Mercer Way Shuttle,201
,3,,,KCM,100093,http://metro.kingcounty.gov/tops/bus/schedules/s202_0_.html,Mercer Island,202
,3,,,KCM,100091,http://metro.kingcounty.gov/tops/bus/schedules/s200_0_.html,Issaquah Shuttle,200
,3,,,KCM,100016,http://metro.kingcounty.gov/tops/bus/schedules/s118_0_.html,Vashon Is--Tahlequah/Burton,118
,3,,,KCM,100017,http://metro.kingcounty.gov/tops/bus/schedules/s119_0_.html,Dockton,119
,3,,,KCM,100014,http://metro.kingcounty.gov/tops/bus/schedules/s116_0_.html,Fauntleroy Ferry Dock ONLY,116
,3,,,KCM,100012,http://metro.kingcounty.gov/tops/bus/schedules/s113_0_.html,Shorewood  White Center  CBD via SR509,113
,3,,,KCM,100013,http://metro.kingcounty.gov/tops/bus/schedules/s114_0_.html,Renton Highlands to C.D.B. Via I-405 & I-90,114
,3,,,KCM,100308,http://metro.kingcounty.gov/tops/bus/schedules/s926_0_.html,Eastgate P&R - Crossroads,926
,3,,,KCM,100011,http://metro.kingcounty.gov/tops/bus/schedules/s111_0_.html,East Renton to C.B.D. Via I-405 & I-90,111
,3,,,KCM,100140,http://metro.kingcounty.gov/tops/bus/schedules/s025_0_.html,Laurelhurst-Lakeview,25
,3,,,KCM,100141,http://metro.kingcounty.gov/tops/bus/schedules/s250_0_.html,Seattle/Overlake/Redmond,250
,3,,,KCM,100142,http://metro.kingcounty.gov/tops/bus/schedules/s251_0_.html,Redmond/Woodinville,251
,3,,,KCM,100143,http://metro.kingcounty.gov/tops/bus/schedules/s252_0_.html,Seattle/Kingsgate Via SR-520/I-405,252
,3,,,KCM,100144,http://metro.kingcounty.gov/tops/bus/schedules/s253_0_.html,Bellevue/Redmond Shuttle,253
,3,,,KCM,100018,http://metro.kingcounty.gov/tops/bus/schedules/s012_0_.html,interlaken park,12
,3,,,KCM,100147,http://metro.kingcounty.gov/tops/bus/schedules/s256_0_.html,Seattle/S Kirkland/Overlake P & R,256
,3,,,KCM,100207,http://metro.kingcounty.gov/tops/bus/schedules/s355_0_.html,Shoreline Comm Coll/Greenwood,355
,3,,,KCM,100284,http://metro.kingcounty.gov/tops/bus/schedules/s888_0_.html,Interlake High School,888
,3,,,KCM,100231,http://metro.kingcounty.gov/tops/bus/schedules/s051_0_.html,West Seattle/Admiral Shuttle,51
,3,,,KCM,100222,http://metro.kingcounty.gov/tops/bus/schedules/s042_0_.html,Martin Luther King WY,42
,0,,,ST,100479,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/599-Weekday.xml,LINK to Sea-Tac,LINK
,3,,,KCM,100023,http://metro.kingcounty.gov/tops/bus/schedules/s124_0_.html,Tukwila - E Marginal - CBD,124
,3,,,ST,100239,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/550-Weekday.xml,Bellevue,550
,3,,,KCM,100120,http://metro.kingcounty.gov/tops/bus/schedules/s229_0_.html,CPS/Eastgate/156 Av SE/Overlake,229
,3,,,ST,100236,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/545-Weekday.xml,Redmond to CBD Express for Sound Transit,545
,3,,,KCM,100204,http://metro.kingcounty.gov/tops/bus/schedules/s347_0_.html,NTC - Mountlake Terrace,347
,3,,,KCM,100070,http://metro.kingcounty.gov/tops/bus/schedules/s179_0_.html,Twin Lakes P&R - Downtown,179
,3,,,KCM,100071,http://metro.kingcounty.gov/tops/bus/schedules/s018_0_.html,North Beach/Downtown,18
