stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
47.402832,,-122.175064,85879,,,,SE 223RD DR & 124TH AVE SE,0,24
47.5435867,,-122.051003,64450,,,,MAPLE ST NW & NW GILMAN BLVD,0,19
47.5437355,,-122.050362,64451,,,,MAPLE ST NW & NW GILMAN BLVD,0,19
47.6996117,,-122.290535,26020,,,,35TH AVE NE & NE 97TH ST,0,21
47.5503654,,-122.049637,64454,,,,10TH AVE NW & LK DR,0,19
47.5456352,,-122.057617,64455,,,,NW GILMAN BLVD & 12TH AVE NW,0,19
47.5356293,,-122.036507,64456,,,,FRONT ST N & NE CRESCENT DR,0,19
47.5238457,,-122.035812,64457,,,,FRONT ST S & 600 BLOCK,0,19
47.5030518,,-122.166367,45110,,,,NE 12TH ST & NE 11TH PL,0,24
47.519413,,-122.029854,64459,,,,2ND AVE SE & FRONT ST S,0,19
47.4997978,,-122.227348,45442,,,,S 115TH PL & 84TH AVE S,0,24
47.4989929,,-122.222855,45440,,,,87TH AVE S & S 116TH ST,0,24
47.4997482,,-122.225395,45441,,,,S 115TH PL & 85TH AVE S,0,24
47.443615,,-122.334267,48620,,,,1ST AVE S & SW 178TH ST,0,24
47.5571938,,-122.37635,22870,,,,35TH AVE SW & SW HUDSON ST,0,21
47.4120255,,-122.242996,58078,,,,S 212TH ST & 72ND AVE S,0,24
47.4633522,,-122.330086,49301,,,,S 156TH ST & 2ND AVE S,0,24
47.4162636,,-122.249352,58074,,,,68TH AVE S & S 208TH ST,0,24
47.4121399,,-122.248276,58077,,,,S 212TH ST & 68TH AVE S,0,24
47.6829643,,-122.273994,37790,,,,NE 75TH ST & 50TH AVE NE,0,21
47.7086258,,-122.316864,82199,,,,NE NORTHGATE WAY & ROOSEVELT WAY NE,0,21
47.6873207,,-122.30175,38500,,,,RAVENNA AVE NE & 25TH AVE NE,0,21
47.7587662,,-122.354523,75050,,,,DAYTON AVE N & N 179TH PL,0,18
47.6858521,,-122.145927,63812,,,,WILLOWS RD NE & NE 95TH ST,0,19
47.5866051,,-122.314568,3515,,,,14TH AVE S & S HOLGATE ST,0,21
47.6303215,,-122.20694,70660,,,,100TH AVE NE & NE 22ND ST,0,19
47.6154594,,-122.302544,36840,,,,23RD AVE & E PINE ST,0,21
47.6380959,,-122.131805,70667,,,,MICROSOFT WAY & NE 31ST ST,0,19
47.6793213,,-122.188347,70664,,,,NE 85TH ST & 114TH AVE NE,0,19
47.6268921,,-122.356789,2680,,,,QUEEN ANNE AVE N & W ALOHA ST,0,21
47.6313858,,-122.118073,71280,,,,NE 24TH ST & 167TH AVE NE,0,19
47.7363968,,-122.080414,71829,,,,AVONDALE RD NE & TOLT PIPELINE TRL,0,40
47.7152214,,-122.08873,71827,,,,AVONDALE RD NE & NE 128TH WAY,0,40
47.7176399,,-122.08802,71826,,,,AVONDALE RD NE & NE 132ND ST,0,19
47.7263451,,-122.084595,71825,,,,AVONDALE RD NE & NE 140TH PL,0,19
47.6463966,,-122.107857,71530,,,,WEST LK SAMMAMISH PKWY NE & NE 40TH ST,0,19
47.6167259,,-122.111328,68280,,,,NE 8TH ST & 172ND AVE NE,0,19
47.3636131,,-122.229996,58210,,,,CENTRAL AVE S & S 266TH ST,0,24
47.5509033,,-122.301605,30410,,,,BEACON AVE S & S ORCAS ST,0,21
47.744503,,-122.286522,76620,,,,BOTHELL WAY NE & 39TH AVE NE,0,19
47.7051086,,-122.317711,82195,,,,ROOSEVELT WAY NE & NE 105TH ST,0,21
47.7778664,,-122.34745,76624,,,,N 205TH ST & AURORA AVE N,0,17
47.7778587,,-122.350029,76625,,,,N 205TH ST & FREMONT AVE N,0,17
47.5494728,,-122.354607,36155,,,,16TH AVE SW & SW FINDLAY ST,0,21
47.6880684,,-122.209679,70480,,,,MARKET ST & 16TH AVE,0,19
47.488636,,-122.181076,54170,,,,NE 4TH ST & INDEX PL NE,0,24
47.6641541,,-122.379028,18700,,,,LEARY AVE NW & 17TH AVE NW,0,21
47.6655273,,-122.380638,18706,,,,LEARY AVE NW & NW IONE PL,0,21
47.3580742,,-122.056931,62089,,,,SE 272ND ST & 213TH AVE SE,0,40
47.3580437,,-122.05397,62087,,,,SE 272ND ST & 216TH AVE SE,0,40
47.7171898,,-122.336449,17820,,,,N 122ND ST & BURKE AVE N,0,21
47.5194168,,-122.356903,21310,,,,DELRIDGE WAY SW & SW CAMBRIDGE ST,0,21
47.6015968,,-122.301727,27570,,,,E YESLER WAY & 23RD AVE S,0,21
47.3754539,,-122.30043,61201,,,,PACIFIC HWY S & S 252ND ST,0,24
47.3291855,,-122.331741,83610,,,,S 304TH PL & 3RD AVE S,0,24
47.5894661,,-122.116219,67100,,,,168TH AVE SE & SE 23RD PL,0,19
47.5610771,,-122.389206,33210,,,,SW ALASKA ST & 45TH AVE SW,0,21
47.5243988,,-122.376747,23050,,,,35TH AVE SW & SW TRENTON ST,0,21
47.6651764,,-122.316231,23500,,,,11TH AVE NE & NE 50TH ST,0,21
47.599308,,-122.309349,11940,,,,S JACKSON ST & 18TH AVE S,0,21
47.6015816,,-122.293816,27610,,,,E YESLER WAY & 30TH AVE S,0,21
47.1993027,,-121.996674,59038,,,,ROOSEVELT AVE & MYRTINE ST,0,40
47.2041664,,-121.990585,59032,,,,WELLS ST & GRIFFIN AVE,0,40
47.1998634,,-121.98217,59033,,,,GRIFFIN AVE & ROOSEVELT AVE E,0,40
47.2024307,,-121.98748,59031,,,,GRIFFIN AVE & 1ST ST,0,40
47.199276,,-122.005142,59036,,,,ROOSEVELT AVE & SEMANSKI ST,0,40
47.1992836,,-122.001854,59037,,,,ROOSEVELT AVE & MELODY LN,0,40
47.1965294,,-122.005409,59034,,,,SEMANSKI ST & CHRISTIANSON AVE,0,40
47.1924629,,-122.005417,59035,,,,SEMANSKI ST & WARNER AVE,0,40
47.6536865,,-122.38475,31230,,,,22ND AVE W & GILMAN AVE W,0,21
47.6867561,,-122.344604,7180,,,,AURORA AVE N & N 80TH ST,0,21
47.6613426,,-122.282738,29100,,,,NE 45TH ST & 42ND AVE NE,0,21
47.7769241,,-122.313622,77970,,,,15TH AVE NE & BALLINGER WAY NE,0,18
47.7573204,,-122.243408,76880,,,,NE BOTHELL WAY & 73RD AVE NE,0,19
47.6673737,,-122.201988,72250,,,,STATE ST S & 10TH AVE S,0,19
47.7562103,,-122.23674,76889,,,,NE BOTHELL WAY & 77TH CT NE,0,19
47.5207901,,-122.263229,34550,,,,SEWARD PK AVE S & RAINIER AVE S,0,21
47.5991249,,-122.316765,8540,,,,S JACKSON ST & 12TH AVE S,0,21
47.5155983,,-122.25666,8010,,,,WATERS AVE S & S PILGRIM ST,0,21
47.6314926,,-122.356491,2740,,,,QUEEN ANNE AVE N & W LEE ST,0,21
47.4019203,,-122.320786,50410,,,,S 223RD ST & 10TH AVE S,0,24
47.4019852,,-122.316673,50415,,,,S 223RD ST & 13TH AVE S,0,24
47.6017456,,-122.308022,27370,,,,E YESLER WAY & 19TH AVE,0,21
47.5014191,,-122.262497,55330,,,,56TH AVE S & S AVON ST,0,21
47.6059799,,-122.143181,84900,,,,148TH AVE SE & SE 8TH ST,0,19
47.4674149,,-122.288841,52810,,,,MILITARY RD S & S 152ND ST,0,24
47.6901588,,-122.376915,13600,,,,15TH AVE NW & NW 85TH ST,0,21
47.5376358,,-122.376488,22670,,,,35TH AVE SW & SW OTHELLO ST,0,21
47.4452057,,-122.294746,60902,,,,S 176TH ST & INTERNATIONAL BLVD,0,24
47.4453392,,-122.294838,60903,,,,S 176TH ST & 30TH AVE S,0,24
47.445652,,-122.296097,60900,,,,INTERNATIONAL BLVD & S 176TH ST,0,24
47.4453125,,-122.289513,60906,,,,S 176TH ST & 34TH AVE S,0,24
47.4451714,,-122.289749,60904,,,,S 176TH ST & 34TH AVE S,0,24
47.4451714,,-122.286232,60908,,,,S 176TH ST & 38TH AVE S,0,24
47.4452667,,-122.281265,60909,,,,S 176TH ST & 42ND AVE S,0,24
47.6380692,,-122.340935,26560,,,,WESTLAKE AVE N & CROCKETT ST,0,21
47.6204109,,-122.121803,66760,,,,164TH AVE NE & NE 12TH ST,0,19
47.6839676,,-122.164032,81536,,,,132ND AVE NE & NE 93RD ST,0,19
47.7742043,,-122.356735,74956,,,,N 200TH ST & GREENWOOD AVE N,0,18
47.7742195,,-122.359398,74958,,,,NW 200TH ST & 2ND AVE NW,0,18
47.6816826,,-122.163811,81534,,,,132ND AVE NE & NE 88TH ST,0,19
47.546627,,-122.300308,30380,,,,BEACON AVE S & S GRAHAM ST,0,21
47.7615776,,-122.354752,75530,,,,DAYTON AVE N & N 183RD ST,0,18
47.3607674,,-122.308136,61230,,,,PACIFIC HWY S & S 268TH ST,0,24
47.5422401,,-122.130005,65268,,,,LAKEMONT BLVD SE & FOREST DR SE,0,19
47.5431328,,-122.130424,65269,,,,LAKEMONT BLVD SE & FOREST DR SE,0,19
47.5456467,,-122.185463,65264,,,,116TH AVE SE & SE 64TH ST,0,19
47.5493164,,-122.182594,65265,,,,SE 60TH ST & 118TH AVE SE,0,19
47.5494537,,-122.182747,65266,,,,SE 60TH ST & 118TH AVE SE,0,19
47.5456581,,-122.185669,65267,,,,116TH AVE SE & SE 64TH ST,0,19
47.5349617,,-122.176689,65260,,,,122ND PL SE & SE 75TH PL,0,19
47.5359764,,-122.180573,65261,,,,SE 75TH PL & 119TH CT SE,0,19
47.5333214,,-122.18396,65262,,,,SE 77TH PL & 117TH CT SE,0,19
47.5415688,,-122.185501,65263,,,,116TH AVE SE & NEWCASTLE WAY,0,19
47.6461487,,-122.114685,73077,,,,NE 40TH ST & NE BELLEVUE REDMOND RD,0,19
47.5992661,,-122.329849,390,,,,2 AVE EXT S & S JACKSON ST,0,1
47.7557411,,-122.319023,77752,,,,NE 175TH ST & 10TH AVE NE,0,18
47.6037827,,-122.128639,73070,,,,LK HILLS BLVD & 159TH PL SE,0,19
47.7413063,,-122.316086,77750,,,,NE 155TH ST & 12TH AVE NE,0,18
47.5644875,,-122.363419,22010,,,,DELRIDGE WAY SW & SW GENESEE ST,0,21
47.6461372,,-122.127464,73079,,,,NE 40TH ST & 158TH WAY NE,0,19
47.6534882,,-122.164207,81508,,,,132ND AVE NE & NE 50TH ST,0,19
47.7846642,,-122.302696,98319,,,,236TH ST SW & 52ND AVE W,0,17
47.6186485,,-122.347839,2300,,,,DENNY WAY & 5TH AVE N,0,21
47.645298,,-122.161995,81500,,,,134TH AVE NE & NE 37TH PL,0,19
47.688385,,-122.3769,13610,,,,15TH AVE NW & NW 83RD ST,0,21
47.6513824,,-122.164291,81506,,,,132ND AVE NE & NE 47TH ST,0,19
47.6481857,,-122.164413,81504,,,,132ND AVE NE & NE 40TH ST,0,19
47.6283455,,-122.142982,74482,,,,148TH AVE NE & NE 20TH ST,0,19
47.5029259,,-122.292572,32225,,,,S 112TH ST & TUKWILA INTL BLVD,0,26
47.6278572,,-122.149879,74480,,,,NE 20TH ST & 140TH AVE NE,0,19
47.5299988,,-122.392624,19700,,,,FAUNTLEROY WAY SW & SW ROSE ST,0,21
47.6823044,,-122.3554,5840,,,,GREENWOOD AVE N & N 74TH ST,0,21
47.4792824,,-122.148331,56825,,,,144TH AVE SE & SE 138TH ST,0,24
47.4810295,,-122.148323,56820,,,,144TH AVE SE & SE 136TH ST,0,24
47.5911903,,-122.314949,3740,,,,14TH AVE S & S JUDKINS ST,0,21
47.626976,,-122.325676,13530,,,,BELMONT AVE E & SUMMIT AVE E,0,21
47.5827103,,-122.2929,11750,,,,31ST AVE S & S COLLEGE ST,0,21
47.6784668,,-122.324837,16390,,,,NE RAVENNA BLVD & WOODLAWN AVE NE,0,21
47.633419,,-122.382812,20730,,,,MAGNOLIA BRDG & PIER 91,0,21
47.5067329,,-122.355209,52100,,,,16TH AVE SW & SW 107TH ST,0,24
47.4595642,,-122.349289,53670,,,,SW 160TH ST & 12TH AVE SW,0,24
47.6340103,,-122.391762,20880,,,,THORNDYKE AVE W & W HAYES ST,0,21
47.5303574,,-122.235458,62500,,,,W MERCER WAY & LK VIEW LN,0,19
47.4598312,,-122.176476,60018,,,,126TH AVE SE & SE 160TH ST,0,24
47.4631882,,-122.176964,60014,,,,KIRKLAND AVE SE & SE 19TH CT,0,24
47.6083298,,-122.327736,13285,,,,MADISON ST & 9TH AVE,0,21
47.6092567,,-122.325539,13284,,,,MADISON ST & BOREN AVE,0,21
47.6104317,,-122.322723,13283,,,,MADISON ST & SUMMIT AVE,0,21
